"Player","Team","Number","Position","Birthdate","College","Year"
"Gerald Dixon","Cincinnati Bengals","--","LB","1969-06-20","South Carolina","1997"
"Tedy Bruschi","New England Patriots","--","LB","1973-06-09","Arizona","1997"
"Jeff Hostetler","Washington Redskins","--","QB","1961-04-22","West Virginia","1997"
"Derrick Witherspoon","Philadelphia Eagles","--","RB","1971-02-14","Clemson","1997"
"Robert Green","Minnesota Vikings","--","RB","1970-09-10","William &amp; Mary","1997"
"Harold Green","Atlanta Falcons","--","RB","1968-01-29","South Carolina","1997"
"Bill Schultz","Chicago Bears","--","OG","1967-05-01","Southern California","1997"
"Jimmie Jones","Philadelphia Eagles","--","DE","1966-01-09","Miami","1997"
"Calvin Collins","Atlanta Falcons","--","C","1974-01-05","Texas A&amp;M","1997"
"Michael Hamilton","San Diego Chargers","--","LB","1973-12-03","North Carolina A&amp;T","1997"
"Jimmy Herndon","Chicago Bears","--","OT","1973-08-30","Houston","1997"
"Terry Wooden","Kansas City Chiefs","--","LB","1967-01-14","Syracuse","1997"
"Mike Chalenski","Miami Dolphins","--","DE","1970-01-28","UCLA","1997"
"Tyoka Jackson","Tampa Bay Buccaneers","--","DE","1971-11-22","Penn State","1997"
"Marcus Allen","Kansas City Chiefs","--","RB","1960-03-26","Southern California","1997"
"Pellom McDaniels","Kansas City Chiefs","--","DE","1968-02-21","Oregon State","1997"
"Erric Pegram","New York Giants","--","RB","1969-01-07","North Texas","1997"
"Kordell Stewart","Pittsburgh Steelers","--","QB","1972-10-16","Colorado","1997"
"Brock Gutierrez","Cincinnati Bengals","--","C","1973-09-25","Central Michigan","1997"
"Leon Lett","Dallas Cowboys","--","DT","1968-10-12","Emporia State","1997"
"Todd Burger","Chicago Bears","--","OG","1970-03-20","Penn State","1997"
"Donny Brady","Baltimore Ravens","--","DB","1973-11-26","Wisconsin","1997"
"Michael Barber","Seattle Seahawks","--","LB","1971-11-09","Clemson","1997"
"Qadry Ismail","Miami Dolphins","--","WR","1970-11-08","Syracuse","1997"
"Vernice Smith","Los Angeles Rams","--","C","1965-10-24","Florida A&amp;M","1997"
"Twan Russell","Washington Redskins","--","LB","1974-04-25","Miami","1997"
"Matt Willig","Atlanta Falcons","--","OT","1969-01-21","Southern California","1997"
"Tom Carter","Chicago Bears","--","DB","1972-09-05","Notre Dame","1997"
"George Teague","Miami Dolphins","--","DB","1971-02-18","Alabama","1997"
"Anthony Miller","Dallas Cowboys","--","WR","1965-04-15","Tennessee","1997"
"Pete Kendall","Seattle Seahawks","--","OG","1973-07-09","Boston College","1997"
"Jeff Smith","Kansas City Chiefs","--","C","1973-05-25","Tennessee","1997"
"Kevin Glover","Detroit Lions","--","C","1963-06-17","Maryland","1997"
"Marco Coleman","San Diego Chargers","--","DE","1969-12-18","Georgia Tech","1997"
"Bubby Brister","Denver Broncos","--","QB","1962-08-15","Northeast Louisiana","1997"
"Marc Logan","Washington Redskins","--","RB","1965-05-09","Kentucky","1997"
"Ronald Moore","Arizona Cardinals","--","RB","1970-01-26","Pittsburg State","1997"
"Eric Zeier","Baltimore Ravens","--","QB","1972-09-06","Georgia","1997"
"Steve Tovar","Cincinnati Bengals","--","LB","1970-04-25","Ohio State","1997"
"Clifton Abraham","Carolina Panthers","--","DB","1971-12-09","Florida State","1997"
"James Francis","Cincinnati Bengals","--","LB","1968-08-04","Baylor","1997"
"Tom Tupa","New England Patriots","--","P","1966-02-06","Ohio State","1997"
"Chris Warren","Seattle Seahawks","--","RB","1967-01-24","Ferrum","1997"
"Bracy Walker","Miami Dolphins","--","DB","1970-10-28","North Carolina","1997"
"Carlton Bailey","Carolina Panthers","--","LB","1964-12-15","North Carolina","1997"
"Mike Lodish","Denver Broncos","--","DT","1967-08-11","UCLA","1997"
